Best, Average, Worst
9, 34, 45
19, 114, 190
29, 189, 435
39, 450, 780
49, 613, 1225
59, 901, 1770
69, 1383, 2415
79, 1803, 3160
89, 2222, 4005
99, 2521, 4950
109, 3168, 5995
119, 3986, 7140
129, 4201, 8385
139, 5281, 9730
149, 5601, 11175
159, 6396, 12720
169, 7414, 14365
179, 8507, 16110
189, 9262, 17955
199, 9839, 19900
209, 10880, 21945
219, 12197, 24090
229, 14594, 26335
239, 13929, 28680
249, 15954, 31125
259, 17195, 33670
269, 18373, 36315
279, 19564, 39060
289, 19847, 41905
299, 22771, 44850
309, 23051, 47895
319, 24337, 51040
329, 27920, 54285
339, 29391, 57630
349, 31465, 61075
359, 32353, 64620
369, 35012, 68265
379, 35140, 72010
389, 37775, 75855
399, 39822, 79800
409, 40248, 83845
419, 45456, 87990
429, 46831, 92235
439, 49195, 96580
449, 48392, 101025
459, 51572, 105570
469, 55157, 110215
479, 60118, 114960
489, 58818, 119805
499, 63732, 124750
509, 68514, 129795
519, 64734, 134940
529, 72592, 140185
539, 69699, 145530
549, 79029, 150975
559, 81378, 156520
569, 79117, 162165
579, 87688, 167910
589, 86939, 173755
599, 91116, 179700
609, 95282, 185745
619, 98379, 191890
629, 100276, 198135
639, 105114, 204480
649, 105831, 210925
659, 107887, 217470
669, 117956, 224115
679, 118047, 230860
689, 120552, 237705
699, 120760, 244650
709, 125789, 251695
719, 130779, 258840
729, 135117, 266085
739, 138311, 273430
749, 135800, 280875
759, 145373, 288420
769, 154594, 296065
779, 153048, 303810
789, 159349, 311655
799, 163346, 319600
809, 167885, 327645
819, 166705, 335790
829, 175761, 344035
839, 175886, 352380
849, 184508, 360825
859, 183201, 369370
869, 189280, 378015
879, 198808, 386760
889, 203614, 395605
899, 202686, 404550
909, 207590, 413595
919, 212116, 422740
929, 210320, 431985
939, 216932, 441330
949, 235682, 450775
959, 230143, 460320
969, 234920, 469965
979, 232582, 479710
989, 245891, 489555
999, 249600, 499500
