Best, Average, Worst
15, 19, 19
40, 65, 48
71, 108, 77
100, 170, 116
133, 226, 153
172, 281, 184
205, 340, 227
240, 409, 272
275, 470, 317
316, 544, 356
357, 612, 395
404, 682, 428
451, 749, 463
480, 821, 524
515, 905, 579
560, 961, 624
595, 1051, 679
640, 1127, 724
691, 1203, 763
732, 1293, 812
775, 1359, 859
824, 1437, 900
873, 1519, 941
928, 1588, 976
983, 1686, 1011
1032, 1770, 1056
1063, 1861, 1125
1100, 1937, 1188
1141, 2008, 1247
1180, 2098, 1308
1225, 2183, 1363
1280, 2279, 1408
1315, 2349, 1473
1360, 2448, 1528
1411, 2517, 1577
1460, 2588, 1628
1513, 2708, 1675
1572, 2783, 1716
1619, 2858, 1769
1664, 2975, 1824
1709, 3057, 1879
1760, 3141, 1928
1811, 3240, 1977
1868, 3331, 2020
1927, 3401, 2061
1976, 3503, 2112
2031, 3586, 2157
2096, 3690, 2192
2151, 3767, 2237
2216, 3875, 2272
2287, 3920, 2301
2324, 4047, 2372
2357, 4134, 2449
2396, 4215, 2520
2435, 4303, 2591
2480, 4430, 2656
2525, 4502, 2721
2572, 4641, 2784
2613, 4701, 2853
2660, 4761, 2916
2711, 4907, 2975
2760, 4978, 3036
2815, 5052, 3091
2880, 5174, 3136
2915, 5287, 3211
2960, 5369, 3276
3011, 5464, 3335
3060, 5551, 3396
3113, 5602, 3453
3172, 5747, 3504
3225, 5890, 3561
3280, 5943, 3616
3335, 6007, 3671
3396, 6142, 3720
3457, 6225, 3769
3524, 6354, 3812
3589, 6423, 3857
3628, 6508, 3928
3673, 6598, 3993
3728, 6713, 4048
3773, 6819, 4113
3828, 6907, 4168
3889, 7049, 4217
3940, 7110, 4276
3993, 7207, 4333
4052, 7303, 4384
4111, 7395, 4435
4176, 7534, 4480
4241, 7613, 4525
4304, 7739, 4572
4355, 7791, 4631
4412, 7928, 4684
4473, 8034, 4733
4532, 8115, 4784
4597, 8203, 4829
4672, 8292, 4864
4727, 8370, 4919
4792, 8492, 4964
4863, 8626, 5003
4932, 8674, 5044
