Best, Average, Worst
45, 14, 20
190, 34, 90
435, 46, 210
780, 79, 380
1225, 157, 600
1770, 228, 870
2415, 344, 1190
3160, 264, 1560
4005, 292, 1980
4950, 376, 2450
5995, 403, 2970
7140, 341, 3540
8385, 350, 4160
9730, 476, 4830
11175, 562, 5550
12720, 442, 6320
14365, 673, 7140
16110, 559, 8010
17955, 770, 8930
19900, 727, 9900
21945, 940, 10920
24090, 1157, 11990
26335, 930, 13110
28680, 1020, 14280
31125, 913, 15500
33670, 1260, 16770
36315, 1041, 18090
39060, 1168, 19460
41905, 1062, 20880
44850, 1166, 22350
47895, 1223, 23870
51040, 1306, 25440
54285, 1611, 27060
57630, 1425, 28730
61075, 1512, 30450
64620, 1636, 32220
68265, 1585, 34040
72010, 1566, 35910
75855, 1592, 37830
79800, 1896, 39800
83845, 1878, 41820
87990, 1534, 43890
92235, 1924, 46010
96580, 1959, 48180
101025, 2332, 50400
105570, 1939, 52670
110215, 2011, 54990
114960, 2900, 57360
119805, 2163, 59780
124750, 2456, 62250
129795, 2548, 64770
134940, 2100, 67340
140185, 2314, 69960
145530, 2769, 72630
150975, 2513, 75350
156520, 2235, 78120
162165, 2551, 80940
167910, 3519, 83810
173755, 2542, 86730
179700, 2747, 89700
185745, 2440, 92720
191890, 3003, 95790
198135, 3019, 98910
204480, 3777, 102080
210925, 2660, 105300
217470, 2846, 108570
224115, 3361, 111890
230860, 4160, 115260
237705, 3048, 118680
244650, 2971, 122150
251695, 3405, 125670
258840, 4018, 129240
266085, 3646, 132860
273430, 3639, 136530
280875, 3481, 140250
288420, 3397, 144020
296065, 3950, 147840
303810, 3398, 151710
311655, 4207, 155630
319600, 3956, 159600
327645, 4262, 163620
335790, 5116, 167690
344035, 5171, 171810
352380, 4570, 175980
360825, 3901, 180200
369370, 5201, 184470
378015, 3944, 188790
386760, 3962, 193160
395605, 4795, 197580
404550, 4392, 202050
413595, 4704, 206570
422740, 5299, 211140
431985, 5333, 215760
441330, 4806, 220430
450775, 3740, 225150
460320, 4647, 229920
469965, 5083, 234740
479710, 4976, 239610
489555, 6644, 244530
499500, 5105, 249500
