Best, Average, Worst
20, 27, 20
72, 72, 72
121, 126, 129
180, 189, 178
238, 231, 230
338, 302, 299
404, 472, 405
446, 505, 492
556, 529, 506
582, 579, 662
682, 728, 668
768, 747, 933
876, 827, 899
971, 956, 1219
1041, 1217, 1060
1161, 1136, 1085
1134, 1391, 1123
1206, 1446, 1303
1727, 1599, 1737
1398, 1570, 1412
1715, 1888, 1577
1625, 1595, 1613
1834, 1746, 1623
2060, 1733, 1732
2276, 1982, 1932
2146, 2114, 2155
2155, 2400, 2064
2317, 2503, 2292
2573, 2515, 2518
2663, 2675, 2416
2435, 2801, 2635
2494, 3263, 2527
3035, 2692, 2953
3206, 3157, 2946
3112, 2980, 3121
2986, 3561, 3156
3140, 3290, 3296
3425, 3170, 3232
3122, 4084, 3438
3907, 3488, 3381
3408, 3355, 3382
4217, 4151, 3992
3687, 4066, 3594
3623, 4107, 3921
4026, 4312, 4062
4320, 4119, 4562
4853, 4751, 4618
4506, 4666, 4602
4809, 4598, 5458
5369, 5364, 5414
5264, 4915, 5624
5107, 4900, 4620
4660, 5847, 5755
4925, 5110, 4721
5594, 6692, 5343
5036, 5459, 5059
5591, 6081, 6025
5497, 6006, 5726
5681, 6000, 6337
5654, 5476, 5315
5778, 6207, 6252
5723, 6208, 6059
5969, 6801, 7138
6003, 6137, 6027
6229, 6484, 6482
6282, 7965, 6690
6733, 6495, 6365
6176, 7641, 6646
8161, 6710, 7164
6964, 7044, 7109
7517, 7014, 6953
7164, 7486, 7182
7348, 6990, 7159
7680, 7677, 7763
7492, 7552, 7442
7706, 7521, 6969
7715, 8923, 7655
7777, 7880, 8163
8431, 9284, 7655
8698, 9167, 8810
8619, 9432, 9150
8207, 8818, 8205
8978, 8774, 9150
8743, 9009, 8403
8553, 9201, 8908
9764, 9188, 9667
9324, 9551, 9454
9226, 8827, 8911
8857, 9861, 9401
9186, 9964, 10482
9726, 9582, 9464
8973, 9067, 9342
9292, 9966, 9986
10261, 10081, 10530
9906, 10094, 10175
9649, 10190, 10591
11124, 10546, 11885
9911, 10790, 10271
10161, 10232, 10352
11152, 10329, 11017
